,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
35,287.4,111.58,36.56,2.52,29.57,3.57,27.35,246.18,119.43,Unknown,BAUMGARTNER 1-23 #1,3.3087165288679903,3.5989547465859495
36,287.9,115.28,37.03,2.43,30.16,3.64,27.0,245.94,117.26,Unknown,BAUMGARTNER 1-23 #1,3.295836866004329,3.6117283949255214
37,288.4,120.1,37.36,2.38,30.17,3.53,26.77,245.48,115.56,Unknown,BAUMGARTNER 1-23 #1,3.2872818575322613,3.620600613360642
38,288.9,123.73,37.59,2.37,30.98,3.36,26.6,245.28,115.18,Unknown,BAUMGARTNER 1-23 #1,3.2809112157876537,3.6267380575760866
39,289.4,120.07,37.69,2.35,32.47,3.24,26.53,245.42,115.35,Unknown,BAUMGARTNER 1-23 #1,3.2782761681496484,3.629394807279044
40,289.9,115.24,37.46,2.34,31.33,3.23,26.7,245.64,115.77,Unknown,BAUMGARTNER 1-23 #1,3.2846635654062037,3.6232736970159425
41,290.4,106.71,36.99,2.34,30.26,3.27,27.04,245.73,116.28,Unknown,BAUMGARTNER 1-23 #1,3.2973172511747633,3.610647605844363
42,290.9,99.01,36.32,2.34,29.49,3.26,27.53,245.49,115.46,Unknown,BAUMGARTNER 1-23 #1,3.315276319154516,3.5923685537330927
43,291.4,102.22,35.46,2.34,27.34,3.25,28.21,245.01,113.73,Unknown,BAUMGARTNER 1-23 #1,3.339676525013905,3.5684053006460617
44,291.9,110.98,34.65,2.32,26.57,3.29,28.86,244.56,112.47,Unknown,BAUMGARTNER 1-23 #1,3.3624565533457247,3.5452977256359124
45,292.4,115.39,34.15,2.3,27.9,3.41,29.29,244.22,112.01,Unknown,BAUMGARTNER 1-23 #1,3.377246160839642,3.530762586016799
46,292.9,112.34,33.9,2.29,28.27,3.48,29.49,244.07,112.84,Unknown,BAUMGARTNER 1-23 #1,3.3840512228271846,3.5234150143864045
47,293.4,104.54,34.03,2.29,27.72,3.45,29.39,244.2,114.09,Unknown,BAUMGARTNER 1-23 #1,3.380654480430826,3.5272424885128144
48,293.9,99.44,34.34,2.3,28.72,3.44,29.12,244.44,113.61,Unknown,BAUMGARTNER 1-23 #1,3.3714252233284854,3.5363108554693294
49,294.4,103.53,34.92,2.3,30.34,3.49,28.64,244.74,112.62,Unknown,BAUMGARTNER 1-23 #1,3.3548043420924447,3.5530597309714014
50,294.9,112.97,35.62,2.31,32.65,3.53,28.08,245.13,112.87,Unknown,BAUMGARTNER 1-23 #1,3.3350575791576103,3.5729072778615154
51,295.4,117.86,36.37,2.31,34.04,3.57,27.5,245.34,113.77,Unknown,BAUMGARTNER 1-23 #1,3.3141860046725258,3.5937442589988975
52,295.9,117.08,37.13,2.32,35.29,3.5,26.94,245.39,114.7,Unknown,BAUMGARTNER 1-23 #1,3.293612170982218,3.6144252681889886
53,296.4,110.64,37.81,2.33,35.61,3.33,26.45,245.33,114.92,Unknown,BAUMGARTNER 1-23 #1,3.2752561583043085,3.6325736179028416
54,296.9,102.26,38.16,2.33,32.74,3.24,26.2,245.19,114.38,Unknown,BAUMGARTNER 1-23 #1,3.265759410767051,3.6417878465800855
55,297.4,100.09,38.34,2.32,29.3,3.23,26.08,245.09,113.75,Unknown,BAUMGARTNER 1-23 #1,3.261168737058452,3.6464937376174986
56,297.9,102.95,38.22,2.31,27.97,3.24,26.16,245.19,113.85,Unknown,BAUMGARTNER 1-23 #1,3.264231526588998,3.643358938812127
57,298.4,102.06,38.06,2.3,27.82,3.29,26.27,245.48,114.45,Unknown,BAUMGARTNER 1-23 #1,3.2684276036974484,3.6391638618680036
58,298.9,100.04,38.13,2.31,28.17,3.29,26.22,245.75,115.72,Unknown,BAUMGARTNER 1-23 #1,3.2665224783355535,3.6410013738694724
59,299.4,103.39,38.5,2.32,28.25,3.21,25.97,246.07,116.92,Unknown,BAUMGARTNER 1-23 #1,3.256942025674657,3.6506582412937387
60,299.9,109.76,39.29,2.32,27.12,3.19,25.46,246.38,116.58,Unknown,BAUMGARTNER 1-23 #1,3.2371085931292605,3.6709700335703683
61,300.4,109.53,40.22,2.32,26.73,3.23,24.86,246.42,116.13,Unknown,BAUMGARTNER 1-23 #1,3.213260086082565,3.6943643843445058
